Mon Apr 19 2021 06:04:31 GMT+0700 (Western Indonesia Time),Aceh,Aceh Timur,Ranto Peureulak,0,0,noaa20,medium,1
Mon Apr 19 2021 06:04:31 GMT+0700 (Western Indonesia Time),Aceh,Aceh Timur,Ranto Peureulak,0,0,noaa20,medium,1
Mon Apr 19 2021 06:04:31 GMT+0700 (Western Indonesia Time),Aceh,Aceh Timur,Ranto Peureulak,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Aceh,Bireuen,Ganda Pura,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Aceh,Bireuen,Ganda Pura,0,0,noaa20,medium,1
Tue Apr 20 2021 17:36:52 GMT+0700 (Western Indonesia Time),Banten,Serang,Cikande,0,0,snpp,medium,1
Tue Apr 20 2021 17:36:52 GMT+0700 (Western Indonesia Time),Banten,Serang,Cikande,0,0,snpp,medium,1
Sun Apr 18 2021 17:24:54 GMT+0700 (Western Indonesia Time),Banten,Serang,Kibin,0,0,noaa20,medium,1
Sun Apr 18 2021 17:24:54 GMT+0700 (Western Indonesia Time),Banten,Serang,Kibin,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Banten,Serang,Kibin,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Banten,Serang,Kibin,0,0,noaa20,medium,1
Sun Apr 18 2021 18:17:35 GMT+0700 (Western Indonesia Time),Banten,Tangerang,Kosambi,0,0,snpp,medium,1
Sun Apr 18 2021 18:17:35 GMT+0700 (Western Indonesia Time),Banten,Tangerang,Kosambi,0,0,snpp,medium,1
Tue Apr 20 2021 06:35:26 GMT+0700 (Western Indonesia Time),Bengkulu,Muko-Muko,Muko Muko Selatan,0,0,snpp,medium,1
Tue Apr 20 2021 06:35:26 GMT+0700 (Western Indonesia Time),Bengkulu,Muko-Muko,Muko Muko Selatan,0,0,snpp,medium,1
Tue Apr 20 2021 06:35:26 GMT+0700 (Western Indonesia Time),Bengkulu,Muko-Muko,Muko Muko Selatan,0,0,snpp,medium,1
Tue Apr 20 2021 06:35:26 GMT+0700 (Western Indonesia Time),Bengkulu,Muko-Muko,Muko Muko Selatan,0,0,snpp,medium,1
Tue Apr 20 2021 06:35:26 GMT+0700 (Western Indonesia Time),Bengkulu,Seluma,Semidang Alas,0,0,snpp,medium,1
Tue Apr 20 2021 06:35:26 GMT+0700 (Western Indonesia Time),Bengkulu,Seluma,Semidang Alas,0,0,snpp,medium,1
Mon Apr 19 2021 06:04:31 GMT+0700 (Western Indonesia Time),Bengkulu,Seluma,Talo,0,0,noaa20,medium,1
Mon Apr 19 2021 06:04:31 GMT+0700 (Western Indonesia Time),Bengkulu,Seluma,Talo,0,0,noaa20,medium,1
Sun Apr 18 2021 18:17:35 GMT+0700 (Western Indonesia Time),Di Yogyakarta,Sleman,Pakem,0,0,snpp,medium,1
Sun Apr 18 2021 18:17:35 GMT+0700 (Western Indonesia Time),Di Yogyakarta,Sleman,Pakem,0,0,snpp,medium,1
Sun Apr 18 2021 18:17:35 GMT+0700 (Western Indonesia Time),Di Yogyakarta,Sleman,Pakem,0,0,snpp,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Di Yogyakarta,Sleman,Pakem,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Di Yogyakarta,Sleman,Pakem,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Dki Jakarta,Jakarta Barat,Kembangan,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Dki Jakarta,Jakarta Barat,Kembangan,0,0,noaa20,medium,1
Wed Apr 21 2021 04:35:30 GMT+0700 (Western Indonesia Time),Gorontalo,Boalemo,Paguyamanpantai,0,0,snpp,medium,1
Wed Apr 21 2021 04:35:30 GMT+0700 (Western Indonesia Time),Gorontalo,Boalemo,Paguyamanpantai,0,0,snpp,medium,1
Tue Apr 20 2021 04:54:26 GMT+0700 (Western Indonesia Time),Gorontalo,Gorontalo,Batudaa Pantai,0,0,snpp,medium,1
Tue Apr 20 2021 04:54:26 GMT+0700 (Western Indonesia Time),Gorontalo,Gorontalo,Batudaa Pantai,0,0,snpp,medium,1
Wed Apr 21 2021 04:35:30 GMT+0700 (Western Indonesia Time),Gorontalo,Gorontalo,Bongomeme,0,0,snpp,medium,1
Wed Apr 21 2021 04:35:30 GMT+0700 (Western Indonesia Time),Gorontalo,Gorontalo,Bongomeme,0,0,snpp,medium,1
Tue Apr 20 2021 05:44:10 GMT+0700 (Western Indonesia Time),Gorontalo,Gorontalo,Telaga Biru,0,0,noaa20,medium,1
Tue Apr 20 2021 05:44:10 GMT+0700 (Western Indonesia Time),Gorontalo,Gorontalo,Telaga Biru,0,0,noaa20,medium,1
Sun Apr 18 2021 18:17:35 GMT+0700 (Western Indonesia Time),Jambi,Batanghari,Mersam,0,0,snpp,medium,1
Sun Apr 18 2021 18:17:35 GMT+0700 (Western Indonesia Time),Jambi,Batanghari,Mersam,0,0,snpp,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Jambi,Batanghari,Mersam,0,0,noaa20,medium,1
Tue Apr 20 2021 18:30:53 GMT+0700 (Western Indonesia Time),Jambi,Batanghari,Mersam,0,0,noaa20,medium,1
